,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
3096,"""I supported (the surge), I argued for it. I'm the only one on this stage that did.""",meter-false,2008,January,10
3097,"""There's not a major bill I know with Hillary's name on it.""",meter-mostly-true,2007,December,31
3098,"""I supported the surge when you didn't.""",meter-false,2008,January,5
3099,"""Bill Clinton cut the military drastically.""",meter-mostly-true,2008,January,5
3100,"""Sen. McCain says it was not a mistake to vote against the Bush tax cuts ... but now says the tax cuts need to be made permanent.""",meter-true,2007,December,26
3101,"""If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.""",meter-mostly-true,2007,December,23
3102,"Biden was responsible for ""ending genocide in Bosnia.""",meter-mostly-false,2007,December,27
3103,""" ... following World War II war crime trials were convened. The Japanese were tried and convicted and hung for war crimes committed against American POWs. Among those charges for which they were convicted was waterboarding.""",meter-true,2007,November,29
3104,"""The estate tax, which came into being by Republicans like Teddy Roosevelt and others ... is there for a real simple reason: In America, we've never liked the idea of massive inherited wealth.""",meter-mostly-false,2007,October,10
3105,"""George Bush ... used a signing statement (on a FEMA bill) to say, 'I don't have to follow that, unless I choose to.' """,meter-true,2007,December,13
3106,"""When Pakistan erupted in crisis, I spoke to Musharraf before Bush did.""",meter-true,2007,December,12
3107,"""I get the most money from active duty officers and military personnel.""",meter-true,2007,November,28
3108,"""America never made up for the gutting of the intelligence services that Bill Clinton did. I think those are (former CIA director George) Tenet's words ... that Bill Clinton gutted American intelligence.""",meter-mostly-true,2007,November,2
3109,"""Three out of the 18 benchmarks of the (GAO) have been fulfilled. Even among Republican math, that is a failing grade.""",meter-true,2007,November,15
3110,"Obama ""refused to not only put his hand on his heart during the Pledge of Allegiance, but refused to say the pledge.""",meter-false,2007,November,8
3111,"Obama spokesman Bill Burton says Clinton gave Bush ""a blank check on a critical foreign policy issue.""",meter-mostly-true,2007,October,21
3112,"""Fences have not worked. The Great Wall of China, the Berlin Wall. That's not good among peoples, especially friends like the United States and Mexico.""",meter-mostly-true,2007,October,5
3113,"""The founders advised non-interventionism.""",meter-mostly-true,2007,October,21
3114,"President Clinton ""reduced the scale of our military dramatically.""",meter-mostly-true,2007,October,21
3115,"""First, he was in favor of my plan, now he's attacking it.""",meter-mostly-true,2007,October,12
3116,"""With the resources it takes to execute just over three months of the Iraq war, we could fully fund the expansion of health care for needy children that Bush vetoed.""",meter-mostly-true,2007,October,3
3117,"""McCain Trying to Have it Both Ways on Iraq""",meter-mostly-false,2007,October,3
3118,"""One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.""",meter-true,2007,October,1
3119,"""I opposed this war from the beginning. I opposed the war in 2002. I opposed the war in 2003. I opposed it in 2004 and 2005 and 2006.""",meter-true,2007,September,12
3120,"""Obama Skips Out On Condemning Left-Wing Attacks On Gen. Petraeus Despite Casting Other 'Important Votes' Earlier And Later In The Day.""",meter-true,2007,September,21
3121,"""21-million Americans could have a four-year college scholarship for the money we've squandered in Iraq. 7.6-million teachers could have been hired last year if we weren't squandering this money.""",meter-mostly-true,2007,June,28
3122,"""And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...""",meter-mostly-true,2007,June,19
3123,"""When NAFTA was passed, there was an acceleration of immigration from Mexico because people were
in search of jobs.""",meter-mostly-true,2007,September,9
3124,"""Senator McCain voted against the Bush tax cuts. Now he's for them.""",meter-true,2007,April,26
3125,"""In 1972, we had a 179,000 human beings in jail in this country. Today, it's 2.3-million, and 70 percent of them are black, African-American.""",meter-false,2007,June,28
3126,"Sen. Clinton said ""the surge of troops in Iraq was 'working.' Now.... Sen. Clinton says the surge 'has failed' and that we should 'begin the immediate withdrawal of U.S. troops.'""",meter-mostly-false,2007,August,23
3127,"""I'm the first person who really took up the issue of the war. Four years ago I said that there was no proof that Iraq had weapons of mass destruction, and, actually... did an analysis which disproved the cause for the war.""",meter-mostly-true,2007,June,19
3128,"Barack Obama supported keeping troops in Iraq, but now he wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.",meter-mostly-true,2007,July,22
3129,"""Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd.""",meter-mostly-true,2007,May,23
3130,“There was a raid on the Biden residence yesterday by the military!”,meter-false,2022,March,21
3131,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,2022,March,6
3132,Photos reveal Greta Thunberg is a trained actress who comes from a long line of actors.,meter-false,2020,December,21
3133,"Says the suspected Boulder mass shooter is a Muslim ""who entered illegally from Mexico and purchased the firearm from a guy that sells stolen guns.""",meter-mostly-false,2021,March,24
3134,"A CNN chyron said the Boulder “shooter was factually Arabic, but morally white.”",meter-false,2021,March,24
3135,“Obama ordered CIA to train ISIS Jihadists”,meter-false,2020,February,9
3136,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-mostly-true,2020,February,22
3137,"“Amy Klobuchar vows to resettle 500 percent more refugees, none in her neighborhood.”",meter-mostly-true,2020,February,12
3138,Says a video shows Iranian rockets being launched toward U.S. airbases in Iraq.,meter-false,2020,January,7
3139,Says the cartels are so bad in a Mexican border state that the U.S. government issued a ‘Do Not Travel’ warning -- the same warning it issued for Syria.,meter-true,2019,November,27
3140,"Says Jeb Bush tweeted ""Ok boomer"" at Donald Trump.",meter-false,2019,November,4
3141,"The United States paid for a 274-mile wall between Jordan and Syria, ""approved by the Dems in the house and senate,"" in order ""to keep ISIS out.""",meter-mostly-false,2019,September,16
3142,"Says CNN called Abu Bakr al-Baghdadi an ""unarmed father of three.""",meter-false,2019,October,27
3143,"Says a photo shows ""Kurdish kids"" after Turkey’s invasion.",meter-false,2019,October,15
3144,"""The Kurds are much safer right now.""",meter-false,2019,October,16
3145,Says a photo shows Greta Thunberg posing next to George Soros and with ISIS.,meter-false,2019,September,23
3146,"""80% of the world’s population lives in countries where religious liberty is in significant danger or even completely outlawed.""",meter-mostly-true,2019,September,24
3147,"Says that under President Donald Trump, ""not only have we not gone after al-Qaida ... our president is supporting al-Qaida.""",meter-false,2019,July,31
3148,Says Thai police found bodies of children with their organs removed.,meter-false,2019,February,28
3149,"Says Alexandria Ocasio-Cortez said, ""We must block Trump from stopping the return of the heroic Alabama mother from ISIS. In many ways she is more of a hero then our veterans. Welcome home sister!""",meter-false,2019,February,26
3150,"""(George) Soros Provides Migrants With Prepaid Debit Cards To Fund Illegal Journeys""",meter-false,2018,November,5
3151,"Says ""Kurt Russell supports Trump"" by wearing a Trump T-shirt.",meter-false,2018,November,6
3152,"""We know dangerous criminals can slip through immigration at airports just like ours. Yet Joe Donnelly stood right here with the radical left against all efforts to secure our most vulnerable entry points.""",meter-false,2018,October,24
